transaction,category
AMUSEMENT,Entertainment
ovenstory store 41,Food & Dining
Moti Mahal,Food & Dining
voot store 313,Entertainment
rapido #1321,Transportation
bistro.com,Food & Dining
rail.com,Transportation
uzer india,Transportation
yashoda/shop,Health
ola*,Transportation
metro cash store 215,Groceries
  reliance petrol  ,Fuel
McDonALds,Food & Dining
  whole foods  ,Groceries
cafecoffee day,Food & Dining
gas company #7611,Utilities
msrtc store 116,Transportation
market-store,Groceries
spctra,Utilities
DISNEY+ HOTSTAR,Entertainment
apsrtc 60 main st,Transportation
npkaa,Shopping
zee5.com,Entertainment
gAsolINe,Fuel
  rebel foods  ,Food & Dining
NILgIri'S,Groceries
gap 600 main st,Shopping
subway india store 293,Food & Dining
disney hotstar-store,Entertainment
ACt fibeRNET,Utilities
restaurant*,Food & Dining
biryani blues #293,Food & Dining
easyday #5322,Groceries
Dominos,Food & Dining
max hospital 725 main st,Health
metro/shop,Transportation
  care  ,Health
nilgiris,Groceries
hathway-store,Utilities
eros now store 69,Entertainment
fuel,Fuel
grocery store 339,Groceries
snyliv,Entertainment
Games The Shop,Entertainment
  mahanagar gas  ,Utilities
  mx player  ,Entertainment
movie*,Entertainment
  subway  ,Food & Dining
MCDONALDS,Food & Dining
disney hotstar,Entertainment
AH,Health
wow momo*,Food & Dining
dunzo.com,Groceries
  cng  ,Fuel
mbil,Fuel
  transit  ,Transportation
AMUseMeNT,Entertainment
msedcl,Utilities
reliance digital 899 main st,Shopping
tata power 140 main st,Utilities
cable 933 main st,Utilities
  puma  ,Shopping
CINEMA,Entertainment
sptify,Entertainment
nextra #6104,Utilities
the uurger club,Food & Dining
RT,Shopping
woodland-store,Shopping
vabong,Shopping
reliance petroleum #6226,Fuel
hotstar #2165,Entertainment
burger king india/shop,Food & Dining
max fashion/shop,Shopping
hinDUStaN PETrOleuM,Fuel
transport/shop,Transportation
grofers-store,Groceries
truemeds #587,Health
reliance petroleum store 396,Fuel
fortis hospital store 274,Health
bus,Transportation
taco bell india.com,Food & Dining
barista*,Food & Dining
practo.com,Health
ola cabs,Transportation
jabong,Shopping
care hospital #8972,Health
HAtHwaY,Utilities
delhi metro/shop,Transportation
clinic,Health
Vijay Sales,Shopping
medplus*,Health
Abhibus,Transportation
reliance smart store 383,Groceries
gasoine,Fuel
taxi-store,Transportation
instamart-store,Groceries
snapdeal,Shopping
wockhardn,Health
disney hotstar,Entertainment
torrent power,Utilities
transport-store,Transportation
Fare,Transportation
lifestyle store 224,Shopping
walireens,Health
wynk music.com,Entertainment
hindustan petrolum,Fuel
kokilaben,Health
apollo hospitals/shop,Health
SPAR,Groceries
gap store 354,Shopping
eectric,Utilities
dmart,Groceries
haldirams.com,Food & Dining
shopclues.com,Shopping
ola.com,Transportation
apollo pharmacy 130 main st,Health
MI STORE,Shopping
care,Health
bangalore metro #1057,Transportation
detal,Health
rite aid #3417,Health
INTERNET,Utilities
LYBRATE,Health
sony liv,Entertainment
indian oil-store,Fuel
alt balaji store 177,Entertainment
shell/shop,Fuel
walmart store 281,Groceries
ebay/shop,Shopping
bescom 143 main st,Utilities
telecom-store,Utilities
Store,Shopping
kroger #5155,Groceries
reliance smart store 308,Groceries
hotstar 225 main st,Entertainment
xbox store 204,Entertainment
onemg 459 main st,Health
puma 177 main st,Shopping
  cloudnine  ,Health
Att,Utilities
kfc india,Food & Dining
Costco,Groceries
faasos,Food & Dining
  irani cafe  ,Food & Dining
games the shop,Entertainment
kims hospital #6916,Health
Auto Gas,Fuel
nayara energy,Fuel
taco bell 116 main st,Food & Dining
shell india,Fuel
hoichoi*,Entertainment
lilavoti,Health
subway/shop,Transportation
Gaana,Entertainment
gasoline-store,Fuel
the burger club/shop,Food & Dining
bpcl,Fuel
more/shop,Groceries
act broadband 75 main st,Utilities
pantaloons,Shopping
  ebay  ,Shopping
telecom-store,Utilities
trader joes/shop,Groceries
amazon store 378,Shopping
  pizza  ,Food & Dining
  kolkata metro  ,Transportation
paytm mall-store,Shopping
Burger,Food & Dining
olusmart,Transportation
sunoco store 457,Fuel
india oil,Fuel
Bestbuy,Shopping
bsnl 105 main st,Utilities
  supermarket  ,Groceries
d mat,Groceries
voot 902 main st,Entertainment
PP,Fuel
JASLOK,Health
care hospital,Health
essar oil,Fuel
delhi jal board-store,Utilities
comcast 338 main st,Utilities
spENcErs,Groceries
taco bell inda,Food & Dining
HaTHwAY,Utilities
fare*,Transportation
lifestyle stores-store,Shopping
haldirams*,Food & Dining
Aha,Entertainment
fare 613 main st,Transportation
cng.com,Fuel
Decathlon India,Shopping
gap.com,Shopping
SWIGGY,Food & Dining
KocHi MetrO,Transportation
reliance fresh.com,Groceries
grocery,Groceries
manipal hospital store 207,Health
cvs 589 main st,Health
RF,Food & Dining
indian railways,Transportation
games store 384,Entertainment
bikanervala 650 main st,Food & Dining
restaurant,Food & Dining
Verizon,Utilities
dmart.com,Groceries
INStAmART,Groceries
telecom/shop,Utilities
dominos #3479,Food & Dining
disney+ hotstar #9670,Entertainment
  24 seven  ,Groceries
Ccd,Food & Dining
bses store 312,Utilities
PB,Transportation
dTC,Transportation
rapido/shop,Transportation
beSCOm,Utilities
cvs,Health
RAiNBOW hospitaL,Health
instamart store 347,Groceries
SNAPDEAL,Shopping
diesel,Fuel
essar oil store 163,Fuel
flipkart supermart #7758,Groceries
slarbucks,Food & Dining
Delhi Jal Board,Utilities
Hungama,Entertainment
tatcliq,Shopping
mwtro,Transportation
indraprastha gas 717 main st,Utilities
dominos #2708,Food & Dining
Pharmacy,Health
Kroger,Groceries
tranport,Transportation
SHOPPERS STOP,Shopping
flipkart supermart-store,Groceries
Lyft,Transportation
cloudnine/shop,Health
  fuel  ,Fuel
tikoa,Utilities
JIO BP,Fuel
bus,Transportation
uDUpi,Food & Dining
steam-store,Entertainment
lybrate/shop,Health
msrtc.com,Transportation
parking.com,Transportation
RD,Shopping
1mg 949 main st,Health
playstation,Entertainment
dish tv.com,Utilities
moti mahal,Food & Dining
mx player.com,Entertainment
koChi metRo,Transportation
scravana bhavan,Food & Dining
Bookmyshow,Entertainment
saravana ghavan,Food & Dining
bmtc store 275,Transportation
paytm bus store 8,Transportation
Jabong,Shopping
JIO,Utilities
msutc,Transportation
SD,Health
mega csbs,Transportation
ero now,Entertainment
vodafone*,Utilities
chipotle,Food & Dining
apollo hospitals #442,Health
retail.com,Shopping
Taxi,Transportation
H&m,Shopping
hpcl,Fuel
flikart,Shopping
max healthcare #3337,Health
satYaM cINemaS,Entertainment
FS,Groceries
lybrate #2369,Health
pantaloons/shop,Shopping
spencers store 210,Groceries
d mart*,Groceries
bpcl/shop,Fuel
bp store 267,Fuel
BS,Transportation
  igl  ,Utilities
kfc india 976 main st,Food & Dining
cafe store 286,Food & Dining
reliance petrol 449 main st,Fuel
nature's basket,Groceries
STAR bazAar,Groceries
MG,Utilities
mobil/shop,Fuel
reliance petrol,Fuel
cvs*,Health
  walgreens  ,Health
wegmans*,Groceries
  airtel digital tv  ,Utilities
MH,Health
  bharat petroleum  ,Fuel
movie-store,Entertainment
spencer's*,Groceries
adani power/shop,Utilities
DOMINOS INDIA,Food & Dining
MOTHERHOOD,Health
auto gas,Fuel
iocl 561 main st,Fuel
exxon #7107,Fuel
AMI,Entertainment
CHAI POINT,Food & Dining
dtc*,Transportation
SI,Food & Dining
uber india,Transportation
shell india-store,Fuel
ajio #7387,Shopping
aiims store 173,Health
flipkart.com,Shopping
OLA,Transportation
  chaayos  ,Food & Dining
  oneplus store  ,Shopping
pspcl,Utilities
  reliance petroleum  ,Fuel
BHarat PeTrolEUM,Fuel
bUS,Transportation
jio cinema-store,Entertainment
reliance petroleum*,Fuel
gana,Entertainment
Rainbow Hospital,Health
airtel digital tv.com,Utilities
lybrate #4284,Health
  delhi jal board  ,Utilities
MERU CABS,Transportation
Hotstar,Entertainment
publix.com,Groceries
HATHWAY,Utilities
ola cabs,Transportation
max helthcare,Health
transport #7287,Transportation
instamart store 478,Groceries
taco bell/shop,Food & Dining
  nayara energy  ,Fuel
kochi metro 885 main st,Transportation
pharmeasy store 6,Health
  moti mahal  ,Food & Dining
Freshmenu,Food & Dining
miraj cinemas.com,Entertainment
pharmacz,Health
jiocinema*,Entertainment
gasoline-store,Fuel
Apple Store India,Shopping
  bharat petroleum  ,Fuel
PAYTM MALL,Shopping
Gamestheshop,Entertainment
  tata sky  ,Utilities
moti mahal-store,Food & Dining
DUNZO,Groceries
blinkit #5589,Groceries
spencer's #3721,Groceries
hitduja hospital,Health
yashoda 847 main st,Health
PD,Food & Dining
hathway,Utilities
  airtel  ,Utilities
mfine 269 main st,Health
whole foods/shop,Groceries
  dominos  ,Food & Dining
gas company,Utilities
  taxi  ,Transportation
reebok/shop,Shopping
tneb 632 main st,Utilities
KOKILABEN,Health
airtel digital tv/shop,Utilities
sun direct*,Utilities
instamzrt,Groceries
mfine-store,Health
namma metro/shop,Transportation
chai point/shop,Food & Dining
mahanagar gas-store,Utilities
gas company-store,Utilities
sunoco 654 main st,Fuel
craftsvila,Shopping
tkona,Utilities
mtnl/shop,Utilities
chennai metro-store,Transportation
TATA SKY,Utilities
  bus  ,Transportation
  delhi metro  ,Transportation
nextra store 171,Utilities
  freshmenu  ,Food & Dining
ClOUDNINe,Health
kochi metro.com,Transportation
indian oil 786 main st,Fuel
max hospial,Health
red bus.com,Transportation
jiosavn,Entertainment
Fuel,Fuel
hyderabad metro,Transportation
big basket #2753,Groceries
kresh,Groceries
you broadband-store,Utilities
biryani blues,Food & Dining
swiggy-store,Food & Dining
dish tv/shop,Utilities
natures basket.com,Groceries
Hungama,Entertainment
myUPcHar,Health
ccd,Food & Dining
uber/shop,Transportation
adani power.com,Utilities
RaymONd,Shopping
nayara energy #1818,Fuel
lilavati,Health
24 seven store 162,Groceries
WEGMANS,Groceries
shell india*,Fuel
dmrc,Transportation
oven story/shop,Food & Dining
bigbasket/shop,Groceries
book my show.com,Entertainment
Rail,Transportation
gamestheshoh,Entertainment
  star bazaar  ,Groceries
BOOKMYSHOW,Entertainment
parking store 208,Transportation
Bigbasket,Groceries
telecom #6251,Utilities
delhi jal board*,Utilities
coffee,Food & Dining
bIkAnervAla,Food & Dining
MI STORe,Shopping
ksrtc.com,Transportation
youtube music,Entertainment
behrouz biryani store 192,Food & Dining
wendys*,Food & Dining
bestbuy.com,Shopping
satyam cinemas*,Entertainment
auto gas store 381,Fuel
Best,Transportation
TACO BELL INDIA,Food & Dining
cinema,Entertainment
apollo clnic,Health
max fashion store 439,Shopping
burger*,Food & Dining
dunkin,Food & Dining
behrouz biryani.com,Food & Dining
limeroad.com,Shopping
safeway*,Groceries
burger king india-store,Food & Dining
DR,Groceries
IndIaN raIlWaYS,Transportation
sunoco,Fuel
carnival cinemas,Entertainment
shopclues*,Shopping
panera store 90,Food & Dining
safeway-store,Groceries
medplus 237 main st,Health
  comcast  ,Utilities
idea,Utilities
apsrtc #1369,Transportation
spencers*,Groceries
you broadband/shop,Utilities
chipotle store 401,Food & Dining
games the shop.com,Entertainment
kroger 975 main st,Groceries
bookyshow,Entertainment
GrOceRY,Groceries
more/shop,Groceries
walmait,Groceries
  transport  ,Transportation
disney store 144,Entertainment
fabindia.com,Shopping
twenty four seven-store,Groceries
bpcl,Fuel
iower,Utilities
diesel-store,Fuel
  chennai metro  ,Transportation
torrent power 683 main st,Utilities
cloulnine,Health
haldirams.com,Food & Dining
UBER INDIA,Transportation
meru cabs #9503,Transportation
Chennai Metro,Transportation
  spar  ,Groceries
disney+ hotstar store 108,Entertainment
snapdeal/shop,Shopping
Gap,Shopping
zepto.com,Groceries
shell india store 230,Fuel
ovenstory #977,Food & Dining
paytm mall/shop,Shopping
pUMA,Shopping
mcdonalds #7183,Food & Dining
bses #185,Utilities
subway.com,Transportation
fab india 804 main st,Shopping
Medplus,Health
haldiram.com,Food & Dining
oven stry,Food & Dining
reliace power,Utilities
jiomart.com,Groceries
jio sAAvn,Entertainment
big basket*,Groceries
hoichoi,Entertainment
mcdonalds #1916,Food & Dining
ccd*,Food & Dining
jiomart,Groceries
reliance petroleum store 190,Fuel
saHaKARI BHandAr,Groceries
nexta,Utilities
mubai metro,Transportation
UtiLiTIes,Utilities
ACT FIBERNET,Utilities
sun nxt-store,Entertainment
RA,Health
sun nxt #6456,Entertainment
  hinduja hospital  ,Health
hinduja hospital/shop,Health
BiGBazaar,Groceries
flipkart supermart 583 main st,Groceries
koch metro,Transportation
  the burger club  ,Food & Dining
DR,Groceries
igl,Utilities
Raymond,Shopping
jiomart #8599,Groceries
mega cabs,Transportation
GAP,Shopping
red bus,Transportation
  kochi metro  ,Transportation
msrtc-store,Transportation
super bazar 358 main st,Groceries
onemg/shop,Health
jiomart store 26,Groceries
INDIAMART,Shopping
dental #539,Health
dental*,Health
dr lal pathlabs*,Health
concert-store,Entertainment
grofdrs,Groceries
fuel 381 main st,Fuel
retail/shop,Shopping
playstation,Entertainment
jio bp,Fuel
zepto*,Groceries
OC,Transportation
  zara  ,Shopping
ebay,Shopping
groferu,Groceries
24 seven #4187,Groceries
max healthcare.com,Health
netmeds,Health
MC,Entertainment
blusmart/shop,Transportation
iocl.com,Fuel
JIO SAAVN,Entertainment
haldirams/shop,Food & Dining
westspde,Shopping
  indian oil  ,Fuel
panera-store,Food & Dining
airdel,Utilities
netmeds #2507,Health
ovenstzry,Food & Dining
shop.com,Shopping
delhi jal board-store,Utilities
SWIGGY INSTAMART,Food & Dining
prim video india,Entertainment
qedicine,Health
SPenCerS,Groceries
taco bell india,Food & Dining
fortis hospital/shop,Health
breach candy store 432,Health
sun direcx,Utilities
apple music india #5317,Entertainment
star bazaar 488 main st,Groceries
torrent poweh,Utilities
raymond 707 main st,Shopping
safeway #2234,Groceries
sun direct #6829,Utilities
airtel #4190,Utilities
dental,Health
amazon india-store,Shopping
essar oil*,Fuel
walmart 275 main st,Groceries
spencer's-store,Groceries
transit #9240,Transportation
instamart store 274,Groceries
playswation,Entertainment
steam.com,Entertainment
pharmeasy*,Health
fresh,Groceries
Store,Shopping
lifestyle #8613,Shopping
rapido store 497,Transportation
spencers store 402,Groceries
gasoline 290 main st,Fuel
poweu,Utilities
besom,Utilities
  reliance smart  ,Groceries
instamart/shop,Groceries
burger king india,Food & Dining
DI,Food & Dining
naaptol #3005,Shopping
  verizon  ,Utilities
hoichoi 810 main st,Entertainment
  best  ,Transportation
ddner,Food & Dining
dish tv.com,Utilities
SUNOCO,Fuel
kims hospital-store,Health
dominos india 312 main st,Food & Dining
act broadband-store,Utilities
Subway,Food & Dining
blu smat,Transportation
apple store india #8582,Shopping
act fibernet,Utilities
Chipotle,Food & Dining
naaptol #8579,Shopping
CARE HOSPITAL,Health
Reliance Petrol,Fuel
pantaloons-store,Shopping
  chai point  ,Food & Dining
fortis #3510,Health
udaan-store,Shopping
spectra store 136,Utilities
Bata,Shopping
woodland,Shopping
nykaa 906 main st,Shopping
ccd store 139,Food & Dining
rail-store,Transportation
HOTSTAR,Entertainment
airtel*,Utilities
petrol pump*,Fuel
  steam  ,Entertainment
  diesel  ,Fuel
Instamart,Groceries
neflix,Entertainment
hypercity-store,Groceries
Whole Foods,Groceries
myupchar 149 main st,Health
yakhoda,Health
sunoco.com,Fuel
hospItal,Health
petrol pump,Fuel
lifestyle stores store 416,Shopping
  spencers  ,Groceries
tata cliq/shop,Shopping
myntra-store,Shopping
uber india,Transportation
ola cabs #7946,Transportation
SnAPDeal,Shopping
indian oil store 272,Fuel
raymvnd,Shopping
chevron store 458,Fuel
aple music india,Entertainment
miraj cinemas.com,Entertainment
adidas,Shopping
idea store 450,Utilities
maNIpAL hOSpital,Health
Nayara Energy,Fuel
D MART,Groceries
gasoline,Fuel
Blusmart,Transportation
  iocl  ,Fuel
thyrocare #6443,Health
cng*,Fuel
akrtel,Utilities
koovs*,Shopping
vi/shop,Utilities
snoco,Fuel
  mahanagar gas  ,Utilities
spotify/shop,Entertainment
  zee5  ,Entertainment
chipotle,Food & Dining
reliance petrol*,Fuel
NAMMA METRO,Transportation
Jio Bp,Fuel
reliaoce petrol,Fuel
airtel digital tv #5320,Utilities
transit*,Transportation
HPCL,Fuel
marathon.com,Fuel
H&M,Shopping
chevron/shop,Fuel
BUS,Transportation
  concert  ,Entertainment
namma metro store 141,Transportation
Bses,Utilities
ssrtc,Transportation
idea #2287,Utilities
bestbuy store 493,Shopping
shoppers stop store 209,Shopping
DUnZo,Groceries
  netmeds  ,Health
thrrocare,Health
carnival cinemas*,Entertainment
dnzo,Groceries
netflix*,Entertainment
bkanervala,Food & Dining
hpcl-store,Fuel
msrtc*,Transportation
saraana bhavan,Food & Dining
amazon india 496 main st,Shopping
MH,Health
  hungama  ,Entertainment
tatasky*,Utilities
zOMatO,Food & Dining
nilgiris-store,Groceries
  myupchar  ,Health
delhi jal board,Utilities
more store 103,Groceries
dmrc-store,Transportation
gaa station,Fuel
  jiomart  ,Groceries
health/shop,Health
SPAR,Groceries
energy store 112,Utilities
