transaction,category
dish tv*,Utilities
pspcl.com,Utilities
PRIME VIDEO INDIA,Entertainment
CVS,Health
iNDIaN RaiLWAyS,Transportation
  raymond  ,Shopping
shopclues 306 main st,Shopping
nammavmetro,Transportation
  raymond  ,Shopping
act broadband store 247,Utilities
BEScoM,Utilities
reliance petroleum #6226,Fuel
msedcl 143 main st,Utilities
amusemynt,Entertainment
ac broadband,Utilities
taxi-store,Transportation
exxn,Fuel
wynk music*,Entertainment
gas company,Utilities
CNG,Fuel
safeway,Groceries
pOwER,Utilities
power #4840,Utilities
shop,Shopping
target-store,Groceries
nature's basket 345 main st,Groceries
POWER,Utilities
hathway*,Utilities
taxi 548 main st,Transportation
voot store 141,Entertainment
Utilities,Utilities
LIBERTY,Shopping
MEDICAL,Health
  whole foods  ,Groceries
bmtc*,Transportation
d2h #8121,Utilities
phone,Utilities
train-store,Transportation
heaLTH,Health
indian oil/shop,Fuel
MetRO,Transportation
AP,Health
airtel*,Utilities
reliance petroleum #6166,Fuel
cinema,Entertainment
sonyliv 819 main st,Entertainment
sahakari bhandar #4852,Groceries
  walgreens  ,Health
Nature'S Basket,Groceries
red bus,Transportation
aldi-store,Groceries
muMbAi mETRO,Transportation
verizon,Utilities
  care  ,Health
indian railways,Transportation
narayana health #3437,Health
YM,Entertainment
Subway,Transportation
blu smart-store,Transportation
Zee5,Entertainment
NAYARA ENERGY,Fuel
Xbox,Entertainment
supermarket*,Groceries
Sunoco,Fuel
walmart,Groceries
jio saavn*,Entertainment
act fibernet,Utilities
mobikwik-store,Transportation
CHEVRon,Fuel
apple music india #6705,Entertainment
haldirams.com,Food & Dining
best-store,Transportation
koovs #5067,Shopping
merb cabs,Transportation
disney hotstar-store,Entertainment
nAtuRE'S BaskeT,Groceries
disney+ hotstar #9670,Entertainment
act fibernet store 92,Utilities
att-store,Utilities
big bazaar 237 main st,Groceries
reliance petroleum #5294,Fuel
dmrc*,Transportation
fresh store 202,Groceries
fare 557 main st,Transportation
  carnival cinemas  ,Entertainment
naaptol,Shopping
dmart ready,Groceries
more/shop,Groceries
inox,Entertainment
dmrc-store,Transportation
power,Utilities
  spotify india  ,Entertainment
xbox 938 main st,Entertainment
Dish Tv,Utilities
  punjabi dhaba  ,Food & Dining
reliace smart,Groceries
xbox #2690,Entertainment
  vodafone idea  ,Utilities
sun direct,Utilities
aster*,Health
JC,Entertainment
naaptol store 82,Shopping
DM,Transportation
d mart*,Groceries
sun nxt,Entertainment
fortis store 158,Health
big basket #2753,Groceries
chennai metro-store,Transportation
energy*,Utilities
hypercity store 197,Groceries
raymond,Shopping
decatjlon india,Shopping
cesc store 154,Utilities
taxi,Transportation
nature's basket*,Groceries
  you broadband  ,Utilities
shell,Fuel
  aiims  ,Health
amusement #7462,Entertainment
big basket.com,Groceries
concert-store,Entertainment
  care hospital  ,Health
fortis hospital.com,Health
reliancekpetrol,Fuel
Subway,Transportation
reliance digital 899 main st,Shopping
fortis,Health
MG,Utilities
exxon.com,Fuel
oneplus store*,Shopping
EROS NOW,Entertainment
eros now.com,Entertainment
namma metro/shop,Transportation
MSrTC,Transportation
PHONE,Utilities
exon,Fuel
reliance jio-store,Utilities
Panera,Food & Dining
  rebel foods  ,Food & Dining
diesEL,Fuel
bubger,Food & Dining
  fare  ,Transportation
eaxon,Fuel
concert,Entertainment
practo,Health
indraprastha gas-store,Utilities
alt balaji store 427,Entertainment
mfine/shop,Health
BUrgER,Food & Dining
big bazaar 667 main st,Groceries
WALMART,Shopping
  satyam cinemas  ,Entertainment
ccd-store,Food & Dining
grocery,Groceries
wendys*,Food & Dining
aiims,Health
medplus*,Health
subway #9863,Food & Dining
stoe,Shopping
market store 222,Groceries
fuel/shop,Fuel
bpcl #2515,Fuel
max healthcare-store,Health
IRCTC,Transportation
bharat pitroleum,Fuel
lilavati #7030,Health
Bpcl,Fuel
onemg,Health
mobikwik*,Transportation
paytm bus-store,Transportation
frESH MEnu,Food & Dining
apple store*,Shopping
Nykaa Fashion,Shopping
clinic/shop,Health
nilgiri's.com,Groceries
rapido-store,Transportation
safway,Groceries
hydjrabad metro,Transportation
exxon/shop,Fuel
bp,Fuel
bikanervala 933 main st,Food & Dining
  ola  ,Transportation
health*,Health
WATER,Utilities
  nordstrom  ,Shopping
gAil,Utilities
  gasoline  ,Fuel
taco bell india,Food & Dining
  rebel foods  ,Food & Dining
bsnl 503 main st,Utilities
subwao,Food & Dining
  fresh menu  ,Food & Dining
airtel digital tv,Utilities
care hospital,Health
twenty four sevee,Groceries
KOLKATA METRO,Transportation
cinema-store,Entertainment
exxon,Fuel
idea store 496,Utilities
NILGIRIS,Groceries
  box8  ,Food & Dining
vijay sales #6232,Shopping
parking #7550,Transportation
HATHWAY,Utilities
indian railways-store,Transportation
cinepolis*,Entertainment
wockhardt 474 main st,Health
jio cinema,Entertainment
reliance petroleum #2880,Fuel
dr lal pathlabs,Health
dmart-store,Groceries
manipal hosrital,Health
subway.com,Food & Dining
gasoline/shop,Fuel
doctor,Health
TATA POWER,Utilities
essar oil store 163,Fuel
store-store,Shopping
  faasos  ,Food & Dining
fuel,Fuel
hathway-store,Utilities
retail-store,Shopping
H&M,Shopping
forts,Health
aiims-store,Health
uber-store,Transportation
dominos 765 main st,Food & Dining
PANerA,Food & Dining
bsnl-store,Utilities
carnival cinemas,Entertainment
Kochi Metro,Transportation
clodnine,Health
Manipal Hospital,Health
MAll,Shopping
PvR cINEMas,Entertainment
  blusmart  ,Transportation
Chennai Metro,Transportation
uber india,Transportation
kfc,Food & Dining
lybrate #2369,Health
reliance petrol #4097,Fuel
ovenstory,Food & Dining
Nilgiris,Groceries
chai point/shop,Food & Dining
alt balaji 570 main st,Entertainment
Xbox,Entertainment
PD,Food & Dining
petrol,Fuel
BIGbAzAaR,Groceries
liberty 943 main st,Shopping
apple music india-store,Entertainment
homeshop18/shop,Shopping
zepto,Groceries
internet 687 main st,Utilities
nykaa fashion.com,Shopping
HEALtH,Health
TORRENT POWER,Utilities
super bazar/shop,Groceries
puma*,Shopping
xbox #5060,Entertainment
delhi metro/shop,Transportation
youtube music 406 main st,Entertainment
gamestheshop 930 main st,Entertainment
hospital 949 main st,Health
airsel,Utilities
haldirams.com,Food & Dining
nature's basket,Groceries
TAXI,Transportation
  hulu  ,Entertainment
mega cabs,Transportation
spotify-store,Entertainment
udupi #5449,Food & Dining
ola.com,Transportation
lilavati store 330,Health
Jio Bp,Fuel
IO,Fuel
reliance petroleum #6994,Fuel
RT,Shopping
spencer's store 114,Groceries
bharat petroleum,Fuel
paytm movies.com,Entertainment
aiims,Health
chipotle,Food & Dining
Care Hospital,Health
safeway,Groceries
CESC,Utilities
petrol/shop,Fuel
meru cabs.com,Transportation
internet store 5,Utilities
diesel 791 main st,Fuel
NIKE,Shopping
gaP,Shopping
amazon,Shopping
FM,Food & Dining
ApOLlO phaRMACY,Health
ebay,Shopping
nykaa fashion 943 main st,Shopping
you broadband 367 main st,Utilities
bharat petroleum.com,Fuel
playstation,Entertainment
igl-store,Utilities
jiomart*,Groceries
hALDiRAmS,Food & Dining
pvr cinemas,Entertainment
mobikwik/shop,Transportation
gas sttion,Fuel
ovenstzry,Food & Dining
hpcl 296 main st,Fuel
med plus store 80,Health
apple store 189 main st,Shopping
fab india 640 main st,Shopping
  transport  ,Transportation
zepto.com,Groceries
freshmenu-store,Food & Dining
Kochi Metro,Transportation
  idea  ,Utilities
tata sky*,Utilities
apple music india.com,Entertainment
TATA POWER,Utilities
shell,Fuel
Burger,Food & Dining
spectra*,Utilities
care hospital,Health
care 860 main st,Health
shppers stop,Shopping
gasoline.com,Fuel
gaana-store,Entertainment
KoCHI MetRo,Transportation
zara,Shopping
pvr store 414,Entertainment
panera-store,Food & Dining
myupchar.com,Health
kchi metro,Transportation
tatacliq/shop,Shopping
chaayos,Food & Dining
bpcl*,Fuel
internet.com,Utilities
FRESHMENU,Food & Dining
paytm mall #7203,Shopping
jio cinema,Entertainment
dElHI jaL BOaRd,Utilities
mega csbs,Transportation
starbucks,Food & Dining
netflix store 173,Entertainment
BLUSMART,Transportation
cable 933 main st,Utilities
ZEptO,Groceries
bistro 866 main st,Food & Dining
PeTROL pUmp,Fuel
mcdonalds #7183,Food & Dining
abhibus.com,Transportation
hYPerCity,Groceries
auto gas,Fuel
  nextra  ,Utilities
jiosaavn,Entertainment
taco bell/shop,Food & Dining
att 282 main st,Utilities
Spar,Groceries
cvs*,Health
BIGBAZAAR,Groceries
motherhood 543 main st,Health
redbus-store,Transportation
nayara energy/shop,Fuel
auto gas/shop,Fuel
adidas/shop,Shopping
walgreens,Health
sun direct*,Utilities
bus/shop,Transportation
bmtc store 275,Transportation
erosnow,Entertainment
  homeshop18  ,Shopping
safeway-store,Groceries
box8 592 main st,Food & Dining
woodland-store,Shopping
petrol pump*,Fuel
target 233 main st,Shopping
zara*,Shopping
nilgiri's,Groceries
water,Utilities
starbucks,Food & Dining
dehi metro,Transportation
easyday/shop,Groceries
  gaana  ,Entertainment
lruemeds,Health
bertbuy,Shopping
ErOsnOw,Entertainment
petRol,Fuel
comcast,Utilities
fresh menu.com,Food & Dining
sun direcx,Utilities
exXon,Fuel
costco store 346,Groceries
comcast/shop,Utilities
reliance digital #1404,Shopping
bookmyshow store 103,Entertainment
REDBUS,Transportation
walgreens #1398,Health
shopper's stop #4816,Shopping
Kims Hospital,Health
indraprastha gas #7532,Utilities
HH,Health
cvs,Health
zepho,Groceries
NB,Groceries
walmart-store,Shopping
water,Utilities
flikart,Shopping
eros now store 266,Entertainment
star bazaar.com,Groceries
metro cash/shop,Groceries
aictel,Utilities
sptify,Entertainment
  max healthcare  ,Health
SRL DIAGNOSTICS,Health
rd bus,Transportation
dishtv store 470,Utilities
fabindia store 153,Shopping
  pizza  ,Food & Dining
red buS,Transportation
flipkart supermart store 212,Groceries
oven stry,Food & Dining
uzer india,Transportation
mARaTHon,Fuel
d2h*,Utilities
Cinepolis,Entertainment
indian rAILwAys,Transportation
reliance petroleum*,Fuel
Bsnl,Utilities
transit/shop,Transportation
verizon,Utilities
health-store,Health
FRESHMENU,Food & Dining
Transit,Transportation
verizon store 370,Utilities
  mobil  ,Fuel
biryani blues,Food & Dining
irani cafe.com,Food & Dining
eBaY,Shopping
fuel 381 main st,Fuel
breach candy,Health
COFFEE,Food & Dining
  fuel  ,Fuel
fresh,Groceries
adani power*,Utilities
mobic,Fuel
energy #8005,Utilities
CONcErT,Entertainment
safeway #7932,Groceries
freshmenu store 330,Food & Dining
INDRAPRASTHA GAS,Utilities
hindustan petroleum #9704,Fuel
easyday/shop,Groceries
Poorvika,Shopping
cabme,Utilities
DOcToR,Health
reliance fresh-store,Groceries
games,Entertainment
nilgiris,Groceries
dishtv,Utilities
inox.com,Entertainment
Theater,Entertainment
satyam cinemas*,Entertainment
tatsky,Utilities
  sunoco  ,Fuel
motherhood.com,Health
reliance smart*,Groceries
  flipkart supermart  ,Groceries
nextra store 171,Utilities
spar*,Groceries
shell inda,Fuel
akrtel,Utilities
poorvika-store,Shopping
  lilavati  ,Health
transport/shop,Transportation
hindustan hetroleum,Fuel
subway 942 main st,Food & Dining
mall 648 main st,Shopping
paytm mall*,Shopping
erosnow/shop,Entertainment
you broadband/shop,Utilities
FABINDIA,Shopping
GASOLINE,Fuel
apsrtc 60 main st,Transportation
mcdonalds store 270,Food & Dining
chevron #4408,Fuel
CRAFTSVILLA,Shopping
  apple store  ,Shopping
spencer's*,Groceries
essar oil,Fuel
gaana 987 main st,Entertainment
ola cabs.com,Transportation
Subway,Food & Dining
care hospital/shop,Health
dtc-store,Transportation
  nilgiri's  ,Groceries
care hosital,Health
homeshop18*,Shopping
medicine/shop,Health
Max Healthcare,Health
faravana bhavan,Food & Dining
kochi mitro,Transportation
parking store 39,Transportation
petrol #7366,Fuel
petrol pump.com,Fuel
mobil,Fuel
enery,Utilities
sunoco.com,Fuel
hyperciy,Groceries
Msedcl,Utilities
instamart-store,Groceries
Tatacliq,Shopping
fuel/shop,Fuel
motherhood*,Health
fresh.com,Groceries
walmart,Shopping
  medical  ,Health
LYBRATE,Health
myupchar-store,Health
  mfine  ,Health
taco bell store 430,Food & Dining
freshmenu.com,Food & Dining
ato gas,Fuel
walgreens 584 main st,Health
bg basket,Groceries
bata store 243,Shopping
aetail,Shopping
exxon 591 main st,Fuel
essar oil.com,Fuel
supermarket/shop,Groceries
MSRTC,Transportation
games store 12,Entertainment
myupchar 425 main st,Health
hoichoi-store,Entertainment
netmeds-store,Health
movie*,Entertainment
zee5 449 main st,Entertainment
walgreens.com,Health
pvr store 204,Entertainment
Meesho,Shopping
BSNL,Utilities
cng*,Fuel
  bp  ,Fuel
cable,Utilities
book my show,Entertainment
prime video india-store,Entertainment
mi store #6891,Shopping
parking.com,Transportation
mega cabs*,Transportation
paring,Transportation
shopers stop,Shopping
wegmpns,Groceries
cinema 254 main st,Entertainment
MEGa CabS,Transportation
bestbuy.com,Shopping
rapido #1321,Transportation
  sun nxt  ,Entertainment
the burger club.com,Food & Dining
IO,Fuel
DOMINOS,Food & Dining
kfc-store,Food & Dining
aMUseMeNt,Entertainment
disneyg hotstar,Entertainment
hypercity #6251,Groceries
tneb*,Utilities
lifestyle stores/shop,Shopping
IG,Utilities
  meru cabs  ,Transportation
naRayAna hEaLtH,Health
parking-store,Transportation
petdol,Fuel
reliance digital store 170,Shopping
subwjy,Food & Dining
marathon,Fuel
bp 342 main st,Fuel
hotstsr,Entertainment
saravana bhavan,Food & Dining
auto gas-store,Fuel
domInOS INDia,Food & Dining
netflix.com,Entertainment
  sahakari bhandar  ,Groceries
RELIANCE PETROL,Fuel
gaana store 86,Entertainment
uduli,Food & Dining
  spectra  ,Utilities
jio saavn #1780,Entertainment
barista-store,Food & Dining
comcast,Utilities
strbucks,Food & Dining
nilgIRiS,Groceries
airtel*,Utilities
hyderabad metro 145 main st,Transportation
hospital,Health
care hospital*,Health
metro cash,Groceries
you broadband*,Utilities
chipotle,Food & Dining
Auto Gas,Fuel
nilgiri's/shop,Groceries
ola cabs,Transportation
trader joes #1775,Groceries
pizza-store,Food & Dining
haldirm,Food & Dining
bangalore metro,Transportation
SPAR,Groceries
marathon #5526,Fuel
amazpn,Shopping
kokilaben,Health
uber 823 main st,Transportation
msrtc,Transportation
myupchar 149 main st,Health
KOKILABEN,Health
rapido.com,Transportation
dunzo-store,Groceries
Hindustan Petroleum,Fuel
lnchbox,Food & Dining
hypercity,Groceries
the burger club*,Food & Dining
telecom-store,Utilities
book my show store 440,Entertainment
bgbasket,Groceries
poorvika*,Shopping
reiance trends,Shopping
GROFERS,Groceries
moti mahal.com,Food & Dining
mall,Shopping
msedcl,Utilities
swiggy instamart/shop,Food & Dining
chennai metro,Transportation
nayara energy,Fuel
exxon-store,Fuel
burger king india,Food & Dining
haldirams/shop,Food & Dining
jio mart/shop,Groceries
jiomart/shop,Groceries
ero now,Entertainment
pAnErA,Food & Dining
  tata sky  ,Utilities
paytm mall store 179,Shopping
jiomart*,Groceries
rite aid.com,Health
SAHAKARI BHANDAR,Groceries
CVS,Health
bata.com,Shopping
uostco,Groceries
ciyepolis,Entertainment
lifestyle store 224,Shopping
games #8065,Entertainment
concert*,Entertainment
amazon #3375,Shopping
irctc*,Transportation
DOCTOR,Health
mumbai metro*,Transportation
more megastore,Groceries
market,Groceries
hoichoi.com,Entertainment
apollo pharmacy,Health
Jaslok,Health
comcast 338 main st,Utilities
TARGET,Groceries
mcdonalds-store,Food & Dining
subway-store,Transportation
Hpcl,Fuel
fortis #3510,Health
EN,Entertainment
MTNL,Utilities
wockhardt*,Health
Sun Nxt,Entertainment
fortis hospial,Health
vi 895 main st,Utilities
RELIANCE TRENDS,Shopping
